employee_id,gerencia,departamento,trayectoria,categoria,experiencia_tecnica_anios,salario_mensual_cop
E0242,Operaciones,Tecnología,Directiva,Especialista,9,11964307
E0243,Comercial,Clientes mayoristas,Directiva,Principal,13,19062621
E0244,Comercial,Clientes mayoristas,Técnica,Especialista,11,9830152
E0245,Operaciones,Operaciones,Técnica,Analista,3,3719297
E0246,Operaciones,Operaciones,Técnica,Senior,8,12224829
E0247,Talento,Recursos humanos,Técnica,Principal,14,17247330
E0248,Talento,Recursos humanos,Técnica,Especialista,14,9924317
E0249,Finanzas,Tesorería,Técnica,Profesional,2,4525039
E0250,Talento,Recursos humanos,Técnica,Especialista,5,8363237
E0251,Operaciones,Operaciones,Técnica,Principal,16,18249586
E0252,Finanzas,Planeación financiera,Técnica,Principal,16,18212789
E0253,Comercial,Clientes mayoristas,Técnica,Senior,9,12212770
E0254,Operaciones,Tecnología,Técnica,Profesional,5,6813219
E0255,Talento,Recursos humanos,Técnica,Especialista,8,8934199
E0256,Comercial,Clientes menores,Técnica,Profesional,7,5318362
E0257,Talento,Recursos humanos,Técnica,Senior,9,12740166
E0258,Finanzas,Planeación financiera,Técnica,Profesional,9,6462160
E0259,Talento,Recursos humanos,Técnica,Especialista,6,8294767
E0260,Comercial,Clientes menores,Técnica,Analista,9,5046213
E0261,Finanzas,Planeación financiera,Técnica,Principal,16,18064496
E0262,Operaciones,Operaciones,Técnica,Analista,0,2937627
E0263,Comercial,Clientes menores,Directiva,Especialista,7,10204212
E0264,Finanzas,Planeación financiera,Técnica,Analista,5,5222629
E0265,Comercial,Clientes menores,Directiva,Senior,15,14281188
E0266,Comercial,Clientes menores,Técnica,Analista,4,3395351
E0267,Comercial,Clientes mayoristas,Técnica,Senior,10,13572087
E0268,Talento,Recursos humanos,Técnica,Analista,1,3552753
E0269,Operaciones,Operaciones,Técnica,Senior,8,12223905
E0270,Talento,Recursos humanos,Técnica,Especialista,8,8631594
E0271,Comercial,Clientes menores,Técnica,Profesional,8,6394563
E0272,Talento,Recursos humanos,Directiva,Senior,15,15756238
E0273,Operaciones,Tecnología,Técnica,Senior,14,13772157
E0274,Comercial,Clientes mayoristas,Técnica,Profesional,8,6981468
E0275,Finanzas,Tesorería,Técnica,Senior,11,12346692
E0276,Talento,Recursos humanos,Directiva,Senior,8,13678940
E0277,Operaciones,Operaciones,Técnica,Senior,12,12390027
E0278,Operaciones,Operaciones,Directiva,Senior,17,16412433
E0279,Comercial,Clientes mayoristas,Directiva,Profesional,8,9152633
E0280,Operaciones,Operaciones,Directiva,Senior,15,15604005
E0281,Finanzas,Planeación financiera,Técnica,Senior,12,13775020
E0282,Operaciones,Operaciones,Técnica,Analista,0,3784350
E0283,Finanzas,Tesorería,Técnica,Profesional,2,4156027
E0284,Talento,Recursos humanos,Directiva,Profesional,5,8043717
E0285,Finanzas,Planeación financiera,Técnica,Especialista,6,8585913
E0286,Finanzas,Tesorería,Técnica,Analista,7,5033493
E0287,Operaciones,Tecnología,Técnica,Analista,5,4992375
E0288,Finanzas,Tesorería,Técnica,Principal,18,17206885
E0289,Finanzas,Tesorería,Técnica,Profesional,3,4538649
E0290,Comercial,Clientes menores,Técnica,Senior,16,12946615
E0291,Comercial,Clientes menores,Técnica,Especialista,6,7932839
E0292,Comercial,Clientes menores,Técnica,Especialista,7,8188539
E0293,Operaciones,Tecnología,Técnica,Profesional,10,8170919
E0294,Operaciones,Operaciones,Técnica,Analista,4,4003252
E0295,Operaciones,Operaciones,Técnica,Especialista,7,8263430
E0296,Operaciones,Operaciones,Técnica,Analista,0,3490657
E0297,Finanzas,Planeación financiera,Técnica,Profesional,2,5280367
E0298,Talento,Recursos humanos,Técnica,Senior,12,13388430
E0299,Comercial,Clientes mayoristas,Técnica,Profesional,7,6756908
E0300,Operaciones,Tecnología,Directiva,Senior,18,16444906
E0301,Operaciones,Operaciones,Técnica,Profesional,2,5619375
E0302,Operaciones,Tecnología,Técnica,Especialista,12,10513441
E0303,Operaciones,Tecnología,Técnica,Profesional,10,8392869
E0304,Comercial,Clientes mayoristas,Directiva,Principal,21,21420617
E0305,Operaciones,Tecnología,Técnica,Principal,22,19984504
E0306,Finanzas,Tesorería,Directiva,Profesional,8,8018034
E0307,Finanzas,Planeación financiera,Técnica,Senior,9,12939683
E0308,Operaciones,Operaciones,Técnica,Senior,12,13230076
E0309,Operaciones,Tecnología,Técnica,Profesional,2,5614548
E0310,Finanzas,Planeación financiera,Técnica,Especialista,14,11183647
E0311,Talento,Recursos humanos,Directiva,Senior,9,13524693
E0312,Comercial,Clientes menores,Directiva,Senior,13,14117467
E0313,Comercial,Clientes mayoristas,Técnica,Profesional,9,7952399
E0314,Finanzas,Tesorería,Técnica,Principal,12,15792852
E0315,Comercial,Clientes mayoristas,Técnica,Profesional,6,6595236
E0316,Finanzas,Tesorería,Técnica,Profesional,8,5846627
E0317,Operaciones,Operaciones,Técnica,Senior,14,12657414
E0318,Comercial,Clientes mayoristas,Técnica,Analista,4,4531001
E0319,Finanzas,Tesorería,Técnica,Principal,12,15690191
E0320,Operaciones,Tecnología,Técnica,Senior,9,12756357
E0321,Comercial,Clientes mayoristas,Técnica,Principal,19,18826724
E0322,Finanzas,Planeación financiera,Técnica,Principal,16,17585276
E0323,Comercial,Clientes mayoristas,Técnica,Especialista,13,10492412
E0324,Comercial,Clientes mayoristas,Técnica,Analista,7,5239941
E0325,Talento,Recursos humanos,Directiva,Senior,12,14743364
E0326,Comercial,Clientes mayoristas,Técnica,Especialista,8,9566446
E0327,Comercial,Clientes mayoristas,Técnica,Principal,15,17907198
E0328,Comercial,Clientes mayoristas,Técnica,Profesional,8,7550254
E0329,Comercial,Clientes mayoristas,Técnica,Analista,10,5274618
E0330,Operaciones,Tecnología,Técnica,Profesional,2,6665516
E0331,Finanzas,Tesorería,Directiva,Especialista,7,10308445
E0332,Operaciones,Operaciones,Técnica,Especialista,10,9917345
E0333,Comercial,Clientes menores,Directiva,Especialista,6,9977091
E0334,Comercial,Clientes mayoristas,Técnica,Senior,8,12035991
E0335,Operaciones,Tecnología,Técnica,Profesional,4,6414928
E0336,Talento,Recursos humanos,Técnica,Analista,0,2758318
E0337,Finanzas,Tesorería,Técnica,Profesional,7,5665291
E0338,Operaciones,Operaciones,Técnica,Principal,15,17170041
E0339,Comercial,Clientes mayoristas,Directiva,Senior,20,17031665
E0340,Comercial,Clientes mayoristas,Técnica,Especialista,11,10845309
E0341,Operaciones,Operaciones,Técnica,Analista,4,4696400
E0342,Comercial,Clientes menores,Directiva,Senior,10,13669806
E0343,Comercial,Clientes mayoristas,Directiva,Senior,13,15030231
E0344,Finanzas,Tesorería,Técnica,Senior,10,12072822
E0345,Comercial,Clientes menores,Técnica,Analista,5,3789760
E0346,Comercial,Clientes menores,Técnica,Senior,11,12429356
E0347,Operaciones,Operaciones,Técnica,Senior,18,13816352
E0348,Talento,Recursos humanos,Técnica,Especialista,6,8084194
E0349,Comercial,Clientes menores,Técnica,Profesional,9,6558858
E0350,Operaciones,Operaciones,Directiva,Especialista,11,12520551
E0351,Finanzas,Tesorería,Técnica,Principal,15,16578264
E0352,Operaciones,Operaciones,Técnica,Analista,3,4073110
E0353,Talento,Recursos humanos,Técnica,Analista,0,3063976
E0354,Operaciones,Tecnología,Técnica,Profesional,4,6230725
E0355,Finanzas,Tesorería,Directiva,Senior,13,14123019
E0356,Operaciones,Operaciones,Técnica,Analista,3,3920383
E0357,Talento,Recursos humanos,Directiva,Senior,8,13402408
E0358,Finanzas,Tesorería,Técnica,Profesional,8,6121179
E0359,Talento,Recursos humanos,Técnica,Senior,10,12577577
E0360,Comercial,Clientes mayoristas,Técnica,Principal,18,18405212
E0361,Operaciones,Tecnología,Técnica,Principal,19,18698831
E0362,Finanzas,Planeación financiera,Técnica,Analista,10,6640659
E0363,Comercial,Clientes mayoristas,Directiva,Senior,11,14538626
E0364,Operaciones,Operaciones,Técnica,Senior,12,12586365
E0365,Comercial,Clientes menores,Técnica,Especialista,7,8097986
E0366,Comercial,Clientes menores,Técnica,Senior,15,13177580
E0367,Comercial,Clientes menores,Técnica,Especialista,9,8154618
E0368,Comercial,Clientes mayoristas,Técnica,Senior,8,12573320
E0369,Operaciones,Operaciones,Técnica,Especialista,10,9866508
E0370,Operaciones,Operaciones,Técnica,Profesional,6,6321354
E0371,Operaciones,Tecnología,Técnica,Analista,3,4530158
E0372,Operaciones,Operaciones,Directiva,Principal,16,19491815
E0373,Comercial,Clientes menores,Técnica,Analista,3,3695620
E0374,Comercial,Clientes menores,Directiva,Especialista,10,10450006
E0375,Finanzas,Tesorería,Técnica,Profesional,9,6222081
E0376,Finanzas,Tesorería,Directiva,Especialista,6,9979028
E0377,Talento,Recursos humanos,Técnica,Especialista,5,7864260
E0378,Operaciones,Operaciones,Directiva,Especialista,12,12065912
E0379,Operaciones,Operaciones,Directiva,Senior,8,14273893
E0380,Operaciones,Tecnología,Técnica,Especialista,12,10149482
E0381,Operaciones,Tecnología,Directiva,Senior,11,15274518
E0382,Operaciones,Tecnología,Directiva,Senior,8,14418877
E0383,Finanzas,Planeación financiera,Directiva,Especialista,10,11476838
E0384,Talento,Recursos humanos,Técnica,Profesional,6,6124390
E0385,Finanzas,Tesorería,Técnica,Profesional,8,6205088
E0386,Operaciones,Operaciones,Técnica,Analista,2,4127342
E0387,Operaciones,Operaciones,Técnica,Principal,15,17806574
E0388,Comercial,Clientes menores,Directiva,Senior,9,12964384
E0389,Comercial,Clientes menores,Directiva,Principal,20,19679149
E0390,Operaciones,Tecnología,Directiva,Senior,15,15888629
E0391,Finanzas,Tesorería,Técnica,Analista,5,4054972
E0392,Operaciones,Tecnología,Técnica,Analista,3,4396350
E0393,Operaciones,Tecnología,Técnica,Analista,5,5155925
E0394,Operaciones,Operaciones,Técnica,Profesional,4,6108131
E0395,Comercial,Clientes mayoristas,Técnica,Analista,6,5006452
E0396,Finanzas,Tesorería,Técnica,Especialista,12,8955948
E0397,Comercial,Clientes menores,Directiva,Principal,19,19702240
E0398,Comercial,Clientes menores,Técnica,Profesional,4,5296402
E0399,Talento,Recursos humanos,Técnica,Profesional,6,6029747
E0400,Talento,Recursos humanos,Técnica,Especialista,7,8980577
E0401,Comercial,Clientes menores,Técnica,Principal,12,16024060
E0402,Operaciones,Tecnología,Técnica,Especialista,12,10229389
E0403,Finanzas,Tesorería,Técnica,Especialista,7,8735076
E0404,Finanzas,Planeación financiera,Técnica,Especialista,11,9863717
E0405,Operaciones,Tecnología,Técnica,Principal,16,17952455
E0406,Comercial,Clientes menores,Directiva,Especialista,14,11110083
E0407,Talento,Recursos humanos,Técnica,Profesional,5,5488440
E0408,Operaciones,Tecnología,Técnica,Principal,12,16926943
E0409,Talento,Recursos humanos,Técnica,Analista,1,3178968
E0410,Comercial,Clientes mayoristas,Técnica,Senior,11,13356950
E0411,Operaciones,Operaciones,Técnica,Profesional,5,6139219
E0412,Operaciones,Operaciones,Técnica,Analista,6,5218555
E0413,Finanzas,Tesorería,Técnica,Analista,2,3277126
E0414,Operaciones,Operaciones,Técnica,Profesional,9,6938031
E0415,Comercial,Clientes menores,Técnica,Senior,14,12686215
E0416,Operaciones,Operaciones,Técnica,Profesional,2,5371511
E0417,Operaciones,Operaciones,Técnica,Profesional,4,5802134
E0418,Finanzas,Tesorería,Técnica,Analista,4,3452329
E0419,Comercial,Clientes mayoristas,Técnica,Profesional,7,6819243
E0420,Operaciones,Operaciones,Directiva,Senior,8,13881149
E0421,Comercial,Clientes menores,Técnica,Profesional,2,4733972
E0422,Operaciones,Operaciones,Técnica,Analista,5,4724879
E0423,Finanzas,Planeación financiera,Directiva,Principal,13,18781294
E0424,Operaciones,Operaciones,Técnica,Especialista,9,8998711
E0425,Finanzas,Tesorería,Técnica,Analista,4,3462953
E0426,Operaciones,Tecnología,Técnica,Profesional,7,6263997
E0427,Operaciones,Operaciones,Técnica,Senior,9,11489523
E0428,Finanzas,Planeación financiera,Directiva,Profesional,3,7145731
E0429,Operaciones,Tecnología,Técnica,Profesional,7,7679444
E0430,Comercial,Clientes mayoristas,Técnica,Analista,0,3928534
E0431,Comercial,Clientes menores,Técnica,Especialista,11,8951314
