customer_id,tenure_months,recent_transactions,recent_spend,digital_engagement,months_since_last_purchase,annual_fee,customer_value,retention_offer,retained_next_period
C0052,1,2,88.12,0.9114,2.03,95,158.0,1,0
C0053,47,6,147.63,0.4252,1.21,50,183.1,0,1
C0054,40,1,34.5,0.0006,1.82,0,67.6,1,0
C0055,43,8,152.46,0.5433,4.13,95,209.47,1,1
C0056,47,6,57.53,0.6283,0.63,50,111.02,0,1
C0057,28,6,55.56,0.8694,1.22,0,84.45,0,1
C0058,35,6,141.26,0.5406,4.21,50,178.01,1,1
C0059,9,2,234.56,0.0941,1.4,50,252.65,0,0
C0060,8,3,185.23,0.9268,4.02,0,188.18,0,0
C0061,40,5,190.73,0.5654,0.39,50,217.58,0,1
C0062,29,5,139.61,0.2715,2.09,0,151.69,1,1
C0063,34,10,123.15,0.8989,0.19,0,138.52,0,1
C0064,46,6,213.29,0.1209,2.23,50,235.63,0,1
C0065,38,3,104.95,0.0975,0.21,0,123.96,1,0
C0066,34,5,216.75,0.535,1.51,0,213.4,0,0
C0067,34,13,248.88,0.6249,3.27,95,286.6,1,1
C0068,19,4,82.69,0.511,2.12,95,153.65,0,0
C0069,3,10,94.44,0.929,3.11,50,140.55,1,0
C0070,27,6,106.34,0.2628,1.69,50,150.07,0,1
C0071,14,10,32.64,0.9902,0.19,95,113.61,0,1
C0072,25,5,112.45,0.0193,8.09,95,177.46,0,0
C0073,51,6,254.12,0.1185,0.14,0,243.3,1,1
C0074,15,8,66.35,0.1857,2.07,0,93.08,1,1
C0075,4,6,256.02,0.0796,4.89,0,244.82,0,0
C0076,18,7,115.32,0.4382,0.51,0,132.26,0,0
C0077,18,4,319.12,0.8654,6.1,0,295.3,0,0
C0078,40,6,95.45,0.8208,0.92,50,141.36,0,1
C0079,34,8,138.48,0.7448,0.17,50,175.78,0,1
C0080,47,4,77.19,0.0074,0.02,95,149.25,1,0
C0081,40,6,94.98,0.8657,0.4,0,115.98,0,0
C0082,25,8,257.05,0.3965,4.59,0,245.64,1,0
C0083,49,3,187.96,0.7316,1.82,0,190.37,0,0
C0084,11,6,232.31,0.7269,2.13,0,225.85,1,1
C0085,2,4,44.75,0.1775,1.73,0,75.8,0,0
C0086,6,9,202.39,0.5154,2.3,95,249.41,0,0
C0087,44,3,72.28,0.9262,0.44,0,97.82,1,1
C0088,28,7,43.01,0.263,0.62,50,99.41,0,0
C0089,11,4,169.1,0.715,4.97,0,175.28,1,1
C0090,31,7,168.28,0.9581,0.76,50,199.62,1,1
C0091,10,9,154.27,0.3606,0.52,95,210.92,1,1
C0092,42,11,207.4,0.3876,4.69,95,253.42,1,1
C0093,27,5,219.89,0.4526,3.68,0,215.91,0,0
C0094,23,7,267.58,0.809,4.61,95,301.56,0,1
C0095,19,14,54.77,0.4393,0.23,0,83.82,1,1
C0096,38,5,270.16,0.4862,0.35,95,303.63,0,1
C0097,22,6,300.58,0.2223,2.62,0,280.46,1,1
C0098,6,9,120.7,0.9883,1.93,50,161.56,0,0
C0099,8,7,16.52,0.8924,1.31,50,78.22,1,1
C0100,58,9,39.32,0.6003,3.1,95,118.96,0,1
C0101,55,10,113.05,0.9606,6.24,95,177.94,0,1
C0102,42,6,311.13,0.687,3.13,0,288.9,1,1
C0103,17,4,151.37,0.9591,8.21,95,208.6,1,0
C0104,58,6,100.63,0.1615,0.85,0,120.5,0,1
C0105,47,2,95.17,0.2255,0.63,0,116.14,0,0
C0106,43,5,44.18,0.8852,0.46,0,75.34,1,1
C0107,28,6,219.97,0.4199,4.42,0,215.98,0,1
C0108,17,5,142.63,0.3712,6.72,0,154.1,1,0
C0109,7,9,317.99,0.7543,3.15,50,319.39,1,1
C0110,54,4,200.26,0.6303,0.18,0,200.21,0,1
C0111,28,8,216.39,0.3441,0.73,50,238.11,0,1
C0112,13,6,130.63,0.3979,0.07,0,144.5,0,0
C0113,19,5,62.72,0.4084,10.53,50,115.18,0,0
C0114,35,10,80.11,0.1263,1.18,0,104.09,1,0
C0115,11,6,40.46,0.2296,0.3,0,72.37,0,1
C0116,52,4,222.83,0.5375,2.9,50,243.26,1,1
C0117,46,3,119.21,0.7818,0.76,95,182.87,1,1
C0118,43,4,226.2,0.419,8.43,95,268.46,0,1
C0119,26,8,160.87,0.3834,2.91,0,168.7,1,1
C0120,38,9,126.57,0.6505,3.26,95,188.76,0,1
C0121,35,5,56.43,0.1573,2.27,50,110.14,0,0
C0122,39,3,174.13,0.3808,0.46,95,226.8,1,0
C0123,6,10,132.51,0.2081,0.24,0,146.01,0,1
C0124,26,5,222.17,0.6516,1.49,0,217.74,0,0
C0125,3,4,92.77,0.1124,7.43,0,114.22,0,0
C0126,30,3,199.29,0.4478,0.03,95,246.93,0,1
C0127,20,4,281.27,0.5962,11.28,0,265.02,1,0
C0128,10,0,171.8,0.8337,2.66,0,177.44,1,0
C0129,7,4,212.82,0.7246,0.81,50,235.26,1,1
C0130,36,3,195.75,0.9429,3.42,95,244.1,1,1
C0131,11,6,301.85,0.6799,0.94,50,306.48,1,1
C0132,56,8,179.72,0.3492,0.29,50,208.78,0,1
C0133,35,6,206.0,0.2317,1.43,0,204.8,1,1
C0134,21,6,147.1,0.0566,0.8,95,205.18,0,0
C0135,36,3,88.05,0.2776,8.68,0,110.44,0,0
C0136,2,6,53.35,0.1368,0.91,0,82.68,1,0
C0137,58,7,251.35,0.3692,0.95,0,241.08,1,1
C0138,29,3,69.33,0.7026,1.13,0,95.46,1,0
C0139,47,8,209.67,0.692,2.89,50,232.74,0,0
C0140,6,6,183.28,0.3182,2.52,50,211.62,1,0
C0141,30,7,223.42,0.5086,6.51,0,218.74,0,1
C0142,30,6,108.82,0.2168,3.62,0,127.06,0,0
C0143,56,9,86.74,0.503,0.24,0,109.39,1,1
C0144,35,3,180.27,0.5101,7.62,0,184.22,0,0
C0145,29,8,126.61,0.3013,0.21,95,188.79,1,1
C0146,17,6,51.52,0.2595,0.47,50,106.22,1,1
C0147,21,5,305.08,0.9796,0.44,0,284.06,1,1
C0148,32,8,86.69,0.5371,5.55,0,109.35,0,1
C0149,27,6,70.51,0.5621,4.97,95,143.91,0,0
C0150,2,6,130.63,0.0078,4.22,95,192.0,1,0
C0151,50,5,250.23,0.1818,11.1,95,287.68,1,0
C0152,54,11,23.34,0.3566,0.39,0,58.67,0,1
C0153,9,7,243.59,0.966,0.04,50,259.87,0,1
C0154,34,6,77.08,0.1752,0.26,0,101.66,0,1
C0155,7,5,171.16,0.3033,0.73,50,201.93,1,0
C0156,41,10,95.92,0.9902,2.97,0,116.74,0,1
C0157,18,12,309.35,0.4811,3.31,50,312.48,1,1
C0158,40,2,159.97,0.3184,0.05,0,167.98,0,0
C0159,44,8,93.35,0.6344,4.58,50,139.68,0,0
C0160,46,7,125.91,0.4963,3.86,0,140.73,1,1
C0161,7,5,157.17,0.9574,0.84,95,213.24,1,0
C0162,55,4,164.21,0.0832,7.26,0,171.37,0,0
C0163,15,6,185.1,0.7905,4.63,50,213.08,0,0
C0164,3,4,149.89,0.2791,0.96,0,159.91,1,0
C0165,34,5,39.83,0.8067,0.2,50,96.86,0,1
C0166,23,6,122.78,0.8477,1.58,50,163.22,0,1
C0167,50,4,198.53,0.8492,2.32,0,198.82,1,0
C0168,49,3,96.41,0.8667,0.37,0,117.13,0,0
C0169,20,7,203.82,0.7181,1.48,0,203.06,1,0
C0170,57,7,152.54,0.1424,5.24,0,162.03,0,0
C0171,18,2,132.58,0.0519,2.12,50,171.06,1,0
C0172,31,5,245.53,0.3408,4.96,0,236.42,1,1
C0173,16,4,10.95,0.4951,1.1,0,48.76,1,0
C0174,56,3,95.97,0.3026,5.34,0,116.78,1,1
C0175,11,4,248.59,0.7422,1.09,0,238.87,1,0
C0176,4,7,296.4,0.7224,5.11,0,277.12,0,1
C0177,27,2,332.88,0.9719,2.54,50,331.3,0,1
C0178,60,7,154.03,0.4006,0.3,0,163.22,0,1
C0179,54,6,186.63,0.7857,1.29,95,236.8,1,1
C0180,45,6,215.39,0.7412,4.46,50,237.31,0,1
C0181,54,3,252.01,0.9887,0.73,0,241.61,0,1
C0182,54,8,175.05,0.7736,4.6,95,227.54,1,1
C0183,32,9,224.09,0.2836,0.3,50,244.27,1,1
C0184,20,4,186.78,0.0153,0.3,50,214.42,0,0
C0185,47,3,191.78,0.9682,1.7,0,193.42,0,1
C0186,40,5,76.53,0.7161,2.94,50,126.22,1,1
C0187,23,9,123.66,0.8126,5.07,0,138.93,1,0
C0188,7,3,108.18,0.7932,3.81,50,151.54,1,0
C0189,45,5,54.89,0.7358,3.43,0,83.91,0,0
C0190,16,9,17.87,0.7515,3.16,0,54.3,1,0
C0191,56,6,116.11,0.9295,0.93,50,157.89,0,0
C0192,15,2,128.89,0.9141,5.04,0,143.11,0,0
C0193,8,7,158.4,0.3792,1.18,0,166.72,0,0
C0194,50,2,194.46,0.031,1.85,95,243.07,0,0
C0195,10,10,165.05,0.0387,4.69,0,172.04,1,0
C0196,12,2,129.45,0.4466,0.61,0,143.56,1,0
C0197,36,7,76.79,0.835,1.2,0,101.43,1,1
C0198,53,7,220.17,0.8476,1.0,95,263.64,1,1
C0199,13,2,141.85,0.4044,18.36,50,178.48,0,0
C0200,19,7,115.3,0.3016,3.68,50,157.24,1,0
C0201,47,6,135.08,0.5066,0.96,95,195.56,1,1
C0202,58,4,91.38,0.8325,0.58,50,138.1,1,1
C0203,31,2,107.55,0.6365,0.77,95,173.54,0,0
C0204,9,11,105.0,0.1398,4.5,50,149.0,1,1
C0205,2,4,127.01,0.3622,1.32,95,189.11,1,0
C0206,15,6,202.46,0.5554,0.68,50,226.97,0,1
C0207,9,8,182.57,0.5383,5.04,0,186.06,1,0
C0208,41,3,273.74,0.8306,1.99,0,258.99,0,0
C0209,8,4,246.94,0.9322,4.25,0,237.55,0,0
C0210,31,7,306.51,0.1005,4.66,50,310.21,1,0
C0211,42,8,194.73,0.2244,2.02,95,243.28,1,1
C0212,35,2,193.45,0.3922,5.65,50,219.76,1,0
C0213,13,3,111.01,0.2964,0.87,50,153.81,0,0
C0214,48,9,216.08,0.4083,0.1,50,237.86,1,1
C0215,43,5,97.51,0.0407,1.32,95,165.51,0,1
C0216,45,3,32.36,0.066,1.49,50,90.89,0,1
C0217,9,8,272.11,0.8384,2.98,0,257.69,1,1
C0218,8,12,50.07,0.1026,2.19,0,80.06,0,1
C0219,56,6,185.11,0.8241,6.36,0,188.09,1,1
C0220,24,9,79.57,0.3065,7.77,0,103.66,1,0
C0221,19,0,240.13,0.3092,2.61,0,232.1,0,0
C0222,30,14,251.04,0.1007,5.61,0,240.83,0,1
C0223,40,7,192.33,0.0133,8.42,0,193.86,0,1
C0224,57,4,249.71,0.3553,2.73,0,239.77,1,1
C0225,18,2,150.59,0.8354,1.43,95,207.97,1,1
C0226,56,7,328.73,0.92,4.8,0,302.98,1,1
C0227,2,6,209.69,0.0616,5.71,95,255.25,1,0
C0228,34,11,77.96,0.0309,6.49,0,102.37,1,1
C0229,38,10,155.57,0.1588,0.29,95,211.96,0,1
C0230,7,7,137.8,0.7663,2.05,50,175.24,0,1
C0231,9,11,129.97,0.2049,1.71,95,191.48,0,0
C0232,26,5,17.43,0.2308,4.3,50,78.94,1,1
C0233,58,5,180.95,0.8889,2.04,50,209.76,0,1
C0234,36,2,39.14,0.8749,8.56,0,71.31,0,0
C0235,56,4,52.03,0.6703,6.53,0,81.62,0,0
C0236,48,9,122.48,0.164,0.03,50,162.98,0,1
C0237,29,8,89.53,0.3811,3.19,0,111.62,1,1
C0238,47,6,81.08,0.2362,1.75,0,104.86,1,0
C0239,2,5,98.25,0.6718,0.97,95,166.1,0,0
C0240,7,4,81.93,0.7799,4.34,0,105.54,1,0
C0241,50,5,136.11,0.1421,1.51,50,173.89,0,0
C0242,48,4,99.27,0.898,1.63,0,119.42,0,1
C0243,15,7,180.99,0.4628,1.77,0,184.79,0,0
C0244,32,8,261.41,0.795,4.3,0,249.13,1,0
C0245,37,4,191.31,0.0516,1.9,0,193.05,1,1
C0246,52,4,232.11,0.3606,0.15,95,273.19,1,1
C0247,37,5,238.73,0.0148,4.42,95,278.48,1,0
C0248,25,4,68.49,0.7185,3.05,0,94.79,0,0
C0249,23,3,185.13,0.0795,0.43,0,188.1,1,0
C0250,26,4,229.61,0.3383,1.1,95,271.19,1,1
C0251,39,16,115.12,0.7817,2.05,0,132.1,0,1
C0252,52,12,86.75,0.749,4.53,0,109.4,0,1
C0253,28,7,192.43,0.6403,0.8,0,193.94,0,1
C0254,16,5,31.47,0.694,8.56,50,90.18,0,0
C0255,15,6,62.96,0.6512,0.77,0,90.37,0,0
C0256,45,5,96.66,0.6413,0.65,0,117.33,0,1
C0257,49,8,186.04,0.3497,8.07,95,236.33,1,1
C0258,7,7,167.51,0.0282,6.84,95,221.51,1,0
C0259,5,9,232.59,0.4418,0.82,50,251.07,1,1
C0260,36,2,76.25,0.0455,2.7,50,126.0,1,0
C0261,10,6,71.96,0.4689,4.44,95,145.07,1,0
C0262,50,3,191.91,0.4641,0.07,50,218.53,0,1
C0263,19,7,86.11,0.1787,1.94,50,133.89,1,0
C0264,9,4,101.72,0.7843,3.98,0,121.38,1,0
C0265,55,7,1.46,0.7042,9.87,0,41.17,1,1
C0266,11,8,173.27,0.5595,3.24,95,226.12,1,0
C0267,18,5,273.3,0.9259,0.51,50,283.64,0,1
C0268,10,9,67.66,0.2872,0.02,0,94.13,1,1
C0269,8,6,231.74,0.262,0.42,50,250.39,0,0
C0270,2,3,145.25,0.1834,4.55,95,203.7,0,1
C0271,4,8,8.77,0.5444,2.55,0,47.02,1,0
C0272,11,4,78.42,0.2054,2.13,50,127.74,1,0
C0273,4,0,73.48,0.8689,5.42,0,98.78,0,0
C0274,36,6,124.68,0.3043,2.22,50,164.74,0,1
C0275,41,6,183.56,0.4909,0.25,95,234.35,1,1
C0276,24,7,297.91,0.5295,2.02,95,325.83,0,1
C0277,20,6,35.51,0.3076,7.08,95,115.91,1,0
C0278,31,10,111.22,0.7384,0.34,50,153.98,0,1
C0279,53,7,78.32,0.6921,23.33,0,102.66,1,0
C0280,51,8,48.56,0.7608,5.57,50,103.85,0,0
C0281,4,5,157.64,0.6059,0.57,0,166.11,1,1
C0282,12,3,150.12,0.4602,0.43,50,185.1,1,1
C0283,15,5,4.9,0.4489,5.04,50,68.92,0,0
C0284,16,8,151.45,0.7165,12.09,50,186.16,1,0
C0285,35,5,53.57,0.377,0.02,0,82.86,1,1
C0286,26,4,150.95,0.4373,2.76,0,160.76,0,1
C0287,4,4,251.56,0.1637,1.94,0,241.25,1,0
C0288,23,2,187.05,0.6796,1.03,0,189.64,1,0
C0289,32,5,164.2,0.0769,0.75,0,171.36,1,0
C0290,7,7,107.7,0.9905,0.37,0,126.16,1,0
C0291,50,3,155.35,0.1437,1.26,95,211.78,0,1
C0292,4,4,195.06,0.383,5.58,0,196.05,1,0
C0293,56,6,187.13,0.2378,0.29,95,237.2,1,1
C0294,7,5,142.06,0.2907,7.47,0,153.65,0,0
C0295,51,5,167.39,0.3225,3.12,95,221.41,0,0
C0296,54,8,44.68,0.7183,0.18,50,100.74,1,1
C0297,59,7,91.25,0.1767,3.98,95,160.5,1,1
C0298,48,8,206.6,0.2639,1.17,95,252.78,0,1
C0299,47,8,217.36,0.1012,1.43,50,238.89,0,1
C0300,39,9,157.49,0.3315,2.79,0,165.99,1,1
C0301,47,8,268.32,0.9412,2.54,50,279.66,0,1
C0302,9,4,190.64,0.3801,10.4,0,192.51,1,0
C0303,33,8,131.35,0.7773,4.22,95,192.58,1,0
C0304,31,2,52.42,0.4617,2.0,95,129.44,1,0
C0305,52,7,265.1,0.4496,1.55,0,252.08,0,1
C0306,28,7,211.63,0.824,1.08,50,234.3,1,1
C0307,24,11,293.86,0.0268,0.08,0,275.09,1,1
C0308,39,12,323.35,0.8649,5.23,50,323.68,1,1
C0309,17,3,47.04,0.4852,1.15,50,102.63,0,0
C0310,9,6,47.25,0.3511,3.39,50,102.8,1,0
C0311,29,3,79.06,0.9068,1.98,95,150.75,1,0
C0312,26,7,223.47,0.3399,4.16,0,218.78,1,1
C0313,15,2,202.52,0.9777,1.37,50,227.02,0,0
C0314,23,7,157.82,0.9364,6.0,50,191.26,0,1
C0315,23,3,51.91,0.2679,1.8,0,81.53,0,0
C0316,20,12,142.88,0.3406,0.19,0,154.3,0,1
C0317,23,5,164.78,0.8122,1.07,0,171.82,1,1
C0318,41,6,212.62,0.1956,2.12,50,235.1,1,1
C0319,19,3,171.84,0.732,6.12,95,224.97,1,0
C0320,57,6,203.1,0.1292,1.72,0,202.48,0,1
C0321,55,4,140.07,0.2056,0.14,0,152.06,0,1
C0322,29,5,244.52,0.5005,1.93,0,235.62,0,0
C0323,20,3,200.54,0.7459,2.34,0,200.43,0,1
C0324,33,5,55.05,0.7394,1.96,0,84.04,1,0
C0325,51,6,261.14,0.6089,15.91,50,273.91,0,0
C0326,40,9,248.05,0.2721,1.48,0,238.44,0,1
C0327,48,3,187.24,0.4154,4.26,95,237.29,1,1
C0328,32,6,172.46,0.2462,3.69,0,177.97,0,0
C0329,38,6,282.69,0.277,1.15,50,291.15,0,0
C0330,18,12,19.33,0.3232,0.18,0,55.46,1,1
C0331,44,4,249.3,0.5988,3.37,0,239.44,0,1
C0332,13,6,111.9,0.2076,3.93,0,129.52,1,0
C0333,42,4,237.61,0.0426,3.14,50,255.09,0,1
C0334,52,10,159.63,0.6925,2.43,95,215.2,1,1
C0335,9,1,50.57,0.0218,5.51,0,80.46,0,0
C0336,37,8,110.28,0.9708,1.49,50,153.22,0,1
C0337,7,9,231.74,0.3503,0.81,50,250.39,1,0
C0338,44,5,133.18,0.0066,1.79,0,146.54,0,0
C0339,6,4,100.28,0.8846,6.82,95,167.72,0,1
C0340,56,1,99.75,0.5998,2.82,0,119.8,0,1
C0341,9,5,201.38,0.8174,0.58,95,248.6,0,1
C0342,58,8,290.05,0.435,0.59,50,297.04,0,1
C0343,48,7,21.27,0.3542,2.38,0,57.02,1,1
C0344,36,7,374.05,0.6552,1.62,50,364.24,0,1
C0345,47,4,166.3,0.406,0.37,0,173.04,1,1
C0346,48,5,196.42,0.5562,3.27,50,222.14,0,0
C0347,57,7,115.1,0.2778,5.69,95,179.58,0,1
C0348,16,8,149.72,0.3326,0.89,50,184.78,1,0
C0349,36,5,165.4,0.0822,2.36,0,172.32,1,0
C0350,7,7,66.07,0.7814,0.13,0,92.86,1,1
C0351,37,3,85.55,0.3489,0.88,50,133.44,0,1
C0352,11,3,244.77,0.975,16.5,50,260.82,0,0
C0353,34,5,25.81,0.2598,4.13,50,85.65,1,0
C0354,35,3,185.28,0.4751,0.36,0,188.22,0,1
C0355,28,5,120.36,0.3055,4.6,50,161.29,0,0
C0356,32,5,73.14,0.6939,3.32,50,123.51,0,0
C0357,46,6,307.75,0.8084,2.12,50,311.2,0,1
C0358,48,6,73.64,0.487,1.93,0,98.91,1,1
C0359,30,3,59.59,0.3669,1.53,0,87.67,1,1
C0360,36,6,135.04,0.7448,0.28,0,148.03,1,1
C0361,56,7,88.52,0.1915,5.23,95,158.32,0,0
C0362,8,9,150.51,0.5995,2.96,95,207.91,1,0
C0363,8,6,162.43,0.7336,0.92,95,217.44,1,1
C0364,6,6,168.77,0.2693,0.1,0,175.02,1,0
C0365,40,5,140.09,0.6557,0.12,50,177.07,1,0
C0366,26,5,93.83,0.7352,0.17,95,162.56,1,1
C0367,47,5,201.47,0.1174,1.58,0,201.18,0,1
C0368,41,4,141.06,0.3239,4.17,0,152.85,1,1
C0369,21,10,110.35,0.4063,1.01,0,128.28,1,1
C0370,54,6,268.4,0.776,3.71,50,279.72,1,1
C0371,46,2,140.3,0.5675,0.01,0,152.24,1,0
C0372,17,7,237.36,0.4496,1.2,0,229.89,0,1
C0373,22,2,248.15,0.3188,8.37,50,263.52,1,0
C0374,20,5,253.01,0.0041,2.07,50,267.41,0,0
C0375,10,8,205.29,0.0202,1.69,95,251.73,1,0
C0376,10,7,149.95,0.2404,6.41,50,184.96,0,0
C0377,56,3,144.88,0.1167,0.79,95,203.4,0,0
C0378,27,13,130.47,0.1196,0.22,50,169.38,1,1
C0379,24,5,23.35,0.6027,2.97,95,106.18,1,0
C0380,44,8,207.5,0.6055,3.84,0,206.0,0,1
C0381,34,7,169.56,0.0448,2.38,95,223.15,0,1
C0382,56,7,216.04,0.5939,0.91,95,260.33,0,1
C0383,47,5,140.64,0.1458,2.59,50,177.51,0,1
C0384,29,4,203.19,0.3772,2.79,0,202.55,0,1
C0385,23,4,39.8,0.9897,1.64,0,71.84,1,0
C0386,59,0,56.46,0.522,0.26,0,85.17,0,0
C0387,43,5,48.1,0.0342,6.21,0,78.48,0,0
C0388,57,5,139.25,0.3477,7.93,0,151.4,1,1
C0389,8,6,88.2,0.6709,7.17,0,110.56,0,0
C0390,51,6,77.73,0.2246,2.59,0,102.18,0,0
C0391,39,4,176.77,0.9644,0.66,95,228.92,0,1
C0392,8,4,115.96,0.4253,2.3,50,157.77,0,0
C0393,36,4,35.35,0.0211,0.8,95,115.78,1,0
C0394,41,8,353.58,0.5406,3.34,0,322.86,1,1
C0395,2,10,147.04,0.6762,0.86,0,157.63,0,1
C0396,28,3,63.35,0.456,4.41,0,90.68,1,1
C0397,50,7,96.41,0.9282,0.93,95,164.63,1,1
C0398,18,5,136.15,0.9019,0.74,0,148.92,1,1
C0399,28,4,135.98,0.139,1.57,50,173.78,1,1
C0400,27,7,254.17,0.0799,2.41,0,243.34,1,0
C0401,19,5,143.65,0.3123,6.8,0,154.92,1,1
C0402,55,4,298.42,0.6081,0.87,0,278.74,0,1
C0403,47,4,115.41,0.6016,6.59,0,132.33,0,0
C0404,8,8,184.11,0.2716,3.38,0,187.29,1,0
C0405,60,9,231.76,0.9511,2.87,95,272.91,1,1
C0406,53,3,245.61,0.3073,4.7,0,236.49,1,0
C0407,18,2,254.95,0.8042,0.88,0,243.96,1,0
C0408,50,4,128.24,0.832,1.25,0,142.59,1,1
C0409,7,10,149.56,0.0984,0.07,95,207.15,1,1
C0410,60,5,48.35,0.2326,3.92,50,103.68,1,1
C0411,40,5,134.32,0.2152,0.31,50,172.46,0,0
C0412,39,11,237.3,0.9197,5.68,50,254.84,0,1
C0413,6,8,221.75,0.3511,2.57,95,264.9,0,1
C0414,54,8,143.08,0.8365,4.26,0,154.46,0,1
C0415,3,3,285.93,0.478,1.66,50,293.74,1,0
C0416,15,4,119.28,0.4572,3.07,95,182.92,0,0
C0417,9,5,92.71,0.9034,0.01,0,114.17,1,0
C0418,47,5,112.55,0.4409,0.15,0,130.04,0,1
C0419,13,4,60.2,0.7449,3.15,50,113.16,1,0
C0420,55,6,199.79,0.4244,2.71,0,199.83,0,1
C0421,40,7,173.08,0.1019,2.06,0,178.46,1,0
C0422,3,5,198.8,0.0531,6.75,0,199.04,0,0
C0423,1,9,116.85,0.2082,0.47,0,133.48,1,0
C0424,4,5,145.35,0.7223,3.37,50,181.28,1,0
C0425,37,10,24.27,0.3736,1.78,0,59.42,1,1
C0426,48,6,180.1,0.4541,3.93,50,209.08,1,1
C0427,15,8,157.91,0.1019,2.18,0,166.33,1,1
C0428,51,7,61.96,0.623,3.68,0,89.57,1,1
C0429,4,7,141.63,0.8034,1.58,0,153.3,0,1
C0430,48,9,129.37,0.6247,2.18,95,191.0,1,1
C0431,56,5,291.14,0.9846,3.43,0,272.91,0,1
C0432,47,5,65.11,0.0163,0.78,50,117.09,0,1
C0433,42,3,176.51,0.0157,1.99,95,228.71,0,0
C0434,50,3,62.74,0.5,5.38,50,115.19,0,0
C0435,3,6,105.37,0.2664,2.32,0,124.3,0,0
C0436,13,6,172.15,0.6865,0.23,0,177.72,1,0
C0437,8,5,133.09,0.7932,0.96,50,171.47,1,1
C0438,31,3,149.52,0.1024,7.08,50,184.62,1,0
C0439,45,5,176.62,0.9173,1.03,50,206.3,0,1
C0440,38,4,110.5,0.0299,2.48,50,153.4,1,0
C0441,51,7,220.73,0.6884,3.55,0,216.58,0,1
C0442,10,8,125.56,0.3845,3.37,50,165.45,0,0
C0443,44,7,142.2,0.6674,3.88,50,178.76,0,0
C0444,12,2,178.9,0.0976,2.91,95,230.62,1,1
C0445,17,7,168.16,0.9371,1.79,50,199.53,1,0
C0446,43,5,201.54,0.9374,0.08,0,201.23,0,1
C0447,59,6,175.36,0.5194,2.17,50,205.29,0,0
C0448,37,5,187.52,0.5096,1.68,50,215.02,0,0
